,name,company_id,movie,movie_id
0,Avex Entertainment,0179653,Initial D: Third Stage,388130
1,Toei Company,0053157,Initial D: Third Stage,388130
2,FUNimation Entertainment,0039940,Initial D: Third Stage,388130
3,S.S. Animent,0921883,Initial D: Third Stage,388130
4,Gébéka Films,0038517,Don't Make Trouble!,273772
5,Twentieth Century Fox,0000756,Waking Life,243017
6,Fox Searchlight Pictures,0028932,Waking Life,243017
7,20th Century Fox Argentina,0007180,Waking Life,243017
8,Fox-Warner,0125154,Waking Life,243017
9,Gemini Film,0067533,Waking Life,243017
10,Hispano Foxfilms S.A.E.,0000956,Waking Life,243017
11,Twentieth Century Fox,0000756,Waking Life,243017
12,Twentieth Century Fox,0000756,Waking Life,243017
13,Twentieth Century Fox,0000756,Waking Life,243017
14,Twentieth Century Fox,0000756,Waking Life,243017
15,Twentieth Century Fox,0000756,Waking Life,243017
16,20th Century Fox Home Entertainment,0297163,Waking Life,243017
17,20th Century Fox Home Entertainment,0010224,Waking Life,243017
18,Capelight Pictures,0151501,Waking Life,243017
19,FS Film,0363592,Waking Life,243017
20,SubTV,0102030,Waking Life,243017
21,Anolis Entertainment,0068070,Mutant Aliens,277909
22,Apollo Cinema,0112126,Mutant Aliens,277909
23,IndieDVD,0084806,Mutant Aliens,277909
24,Buena Vista Pictures,0044279,Recess: School's Out,265632
25,Buena Vista International,0000779,Recess: School's Out,265632
26,Buena Vista International,0000779,Recess: School's Out,265632
27,Gaumont Buena Vista International (GBVI),0033410,Recess: School's Out,265632
28,Buena Vista International,0000779,Recess: School's Out,265632
29,Buena Vista International,0000779,Recess: School's Out,265632
30,Walt Disney Home Entertainment,0087337,Recess: School's Out,265632
31,Buena Vista International,0000779,Recess: School's Out,265632
32,Disney Channel,0022105,Recess: School's Out,265632
33,Net5,0115441,Recess: School's Out,265632
34,American Broadcasting Company (ABC),0037052,Recess: School's Out,265632
35,Disney Channel,0022105,Recess: School's Out,265632
36,Disney+,0721120,Recess: School's Out,265632
37,Gativideo,0044350,Recess: School's Out,265632
38,Gativideo,0044350,Recess: School's Out,265632
39,Héliotrope Films,0008493,"Pic-Pic, André et leurs amis",277955
40,Twentieth Century Fox,0000756,Monkeybone,166276
41,20th Century Fox Argentina,0007180,Monkeybone,166276
42,20th Century Fox India,0092296,Monkeybone,166276
43,Hispano Foxfilms S.A.E.,0000956,Monkeybone,166276
44,Twentieth Century Fox,0000756,Monkeybone,166276
45,UGC-Fox Distribution (UFD),0055795,Monkeybone,166276
46,101 Films,0309225,Monkeybone,166276
47,20th Century Fox Home Entertainment,0297163,Monkeybone,166276
48,20th Century Fox Home Entertainment,0280047,Monkeybone,166276
49,20th Century Fox Home Entertainment,0010224,Monkeybone,166276
50,20th Century Fox Home Entertainment,0010224,Monkeybone,166276
51,20th Century Fox Home Entertainment,0010224,Monkeybone,166276
52,20th Television,0161074,Monkeybone,166276
53,Anchor Bay Entertainment,0067793,Monkeybone,166276
54,Anchor Bay Entertainment,0067793,Monkeybone,166276
55,EuroVideo,0041475,Monkeybone,166276
56,FS Film,0363592,Monkeybone,166276
57,FS Film,0363592,Monkeybone,166276
58,Gativideo,0044350,Monkeybone,166276
59,Mainostelevisio (MTV3),0069920,Monkeybone,166276
60,RTL Entertainment,0112383,Monkeybone,166276
61,Twentieth Century Fox Home Entertainment,0189783,Monkeybone,166276
62,Twentieth Century Fox Home Entertainment,0189783,Monkeybone,166276
63,Columbia TriStar Films de España,0057443,The Trumpet of the Swan,206367
64,Columbia TriStar Home Entertainment,0127120,The Trumpet of the Swan,206367
65,Columbia TriStar Home Video,0063990,The Trumpet of the Swan,206367
66,Columbia TriStar,0001850,The Trumpet of the Swan,206367
67,Columbia TriStar,0001850,The Trumpet of the Swan,206367
68,Disney Channel,0022105,The Trumpet of the Swan,206367
69,TriStar Pictures,0005883,The Trumpet of the Swan,206367
70,Toei Company,0053157,One Piece: Clockwork Island Adventure,832449
71,Kazé Germany,0453279,One Piece: Clockwork Island Adventure,832449
72,Kazé Germany,0453279,One Piece: Clockwork Island Adventure,832449
73,Toho Company,0002219,Doraemon: Nobita and the Winged Braves,306741
74,Pony Canyon,0017081,Doraemon: Nobita and the Winged Braves,306741
75,Universe Films Distribution Company,0080502,Doraemon: Nobita and the Winged Braves,306741
76,Universe Laser & Video Co. Ltd.,0070089,Doraemon: Nobita and the Winged Braves,306741
77,Septième Factory,0305342,Tootletubs & Jyro,287058
78,Twin Film,0115426,Tootletubs & Jyro,287058
79,Folkets Bio,0099930,Tootletubs & Jyro,287058
80,Sandrew Metronome Distribution,0050310,Tootletubs & Jyro,287058
81,Twin Video,0219498,Tootletubs & Jyro,287058
82,China Star Entertainment,0003221,Old Master Q 2001,199898
83,Mei Ah Entertainment,0022895,Old Master Q 2001,199898
84,Luk Internacional S.A.,0124432,Shin Chan: The Adult Empire Strikes Back,831848
85,AV Visionen Filmverleih,0312450,Detective Conan: Countdown to Heaven,1073223
86,Anime Virtual,0203559,Detective Conan: Countdown to Heaven,1073223
87,DreamWorks Distribution,0067641,Shrek,126029
88,CJ Entertainment,0043365,Shrek,126029
89,East West,0006285,Shrek,126029
90,Paramount Films of India,0318358,Shrek,126029
91,United International Pictures (UIP),0097402,Shrek,126029
92,United International Pictures (UIP),0112572,Shrek,126029
93,United International Pictures (UIP),0262438,Shrek,126029
94,United International Pictures (UIP),0112575,Shrek,126029
95,United International Pictures (UIP),0125155,Shrek,126029
96,United International Pictures (UIP),0262253,Shrek,126029
97,United International Pictures (UIP),0142899,Shrek,126029
