producers,directors
"['0160091', '3969193', '2857214', '0400152', '0687039', '0003828', '0720277', '0741578', '0760555']","['0973105', '0973475', '0874096']"
"['1308619', '2120212', '5257138', '1329871', '0803780', '1238966']",['0862911']
"['2993794', '0441546', '2993952', '1558946', '0664513', '4077008', '0723704', '2728742', '3538934']","['0068034', '0994310']"
"['1480420', '1491111', '3613097', '2176241', '1020310', '2116466']",['0184362']
"['1444286', '0303502', '0341702', '0436047', '0464769', '0464770', '0473622']",['0840905']
[],['10576382']
"['3180926', '3180536', '3870741', '3124807', '3199613']",['3179993']
"['1650412', '1004541', '4598701', '3368118', '2800118', '1151819']","['1004541', '0820800']"
"['5195981', '0442930', '4329225', '3514622', '1857237', '1046177', '5597090', '4864628', '9030391', '1426179']",['1159782']
"['0075732', '1418292', '0209773', '0002211', '1913746', '0489691', '0620502', '2622914', '2003463', '0927880']",['0811583']
"['4094347', '4094598', '3738468']",['3738468']
['0496556'],['0024930']
['1744370'],['1744370']
"['0459996', '0609265', '0772905', '1637852', '0861997']","['0459996', '1637852']"
['13509326'],['0873051']
[],[]
[],[]
"['0078887', '2184351', '2156681', '2713886', '0305319', '1684815', '0971890', '1453625', '2150072', '2152193']",['0872045']
"['0281873', '1380253', '0374386', '0536385', '1300871', '0557897', '1400785', '1382149']",['0503497']
"['4384336', '2091232', '0214862', '0218838', '0320868', '4384370', '6442318', '0999118', '0959109']","['0271246', '0300944']"
"['4124318', '4124158', '3458200', '4125375', '0756313']",['2709116']
['0613673'],['4047350']
"['4871623', '0497546', '2972110', '1709238']",['1709238']
"['0091104', '0164180', '2039702', '3941282', '0827670']",['0970606']
['1269511'],['1810275']
"['3776171', '3048607']",['3048607']
[],['4154644']
"['1129910', '10093616', '10093617', '3968494', '7008299', '2009249', '3651665', '2981558', '9176180', '6982463', '5371819', '1090121']","['1558799', '1409123']"
"['2604429', '1660846', '0180366', '0868219', '1108093', '4777143', '0001774', '0857620']",['0569891']
['0783652'],['4127624']
"['13098306', '0142792', '0172858', '2055719']",['0172858']
[],['4141412']
"['0496556', '1664401']",['0024930']
"['8158899', '3592109']",['1300317']
"['1092332', '0496556', '1664401']",['1556115']
"['2941991', '1297226', '3944761', '3780701']",['1297226']
[],[]
"['4590860', '4589922']","['4589923', '4590348']"
['0555441'],['0555441']
"['0174807', '0443855', '0005124', '2134370']","['1977355', '0397174']"
"['1656397', '2030492', '0343491', '0343518', '2690424', '1041610', '4279702', '2727721']","['2613084', '0896139']"
"['1848159', '0638384']",['0478239']
"['2299859', '0249210', '1631212', '0690494', '1925554']","['4121790', '4121247', '1543886', '0550878']"
"['4125340', '4125555', '4124063', '0709349']",['0022289']
"['0353702', '3972321', '2289527', '11706403', '11706404', '3984065', '0462024', '1473649', '12610042', '1818197', '7245379', '12910588', '3834107', '0638105', '11698077', '4228702', '0793607', '0800493', '8215178', '0837557', '1701493', '4773652', '4884425', '2838056']",['0994244']
['4204668'],['4204668']
"['7141642', '8113884']",['7205278']
"['1666467', '0326505', '0414734']",['2568271']
"['0074260', '0168452', '0209773', '0245741', '1633320', '1651942', '0918922']",['0108094']
"['0498008', '0004214', '1981925']",['3734897']
"['6006136', '3965225', '1348328', '1085316', '0416700', '0449564', '2640400', '0573170', '0994569', '0770094', '2038189', '2522094', '1434205']",['2398433']
['3629595'],"['6158461', '3773960', '2451142']"
"['1538556', '2334799', '2150640', '1572280', '3296756', '4299305', '3699051', '1586368', '1166150']",['0452022']
['0793607'],[]
"['2176530', '4729467', '4213321', '1283035', '4729395', '4214141', '1969657', '0764188', '0764017', '2259635', '4729502']",['4105275']
"['6167440', '7919618', '5002862', '2208460', '3240040', '4745214', '0653004', '4743287', '4506986', '0793725', '1780241', '2879821']","['1582831', '0636594']"
"['1650390', '0783652']",['2242060']
['4584168'],['10863024']
[],['0465289']
[],"['3448190', '3445753']"
[],['2363086']
[],['1278058']
['3820994'],['0766461']
"['3848213', '3358216']",['3848213']
"['3883985', '3885537', '3215601', '3883991', '3884005']",['3215601']
"['3371750', '4035371']","['3371750', '4035371']"
['4111080'],['4111080']
['4131814'],['4131814']
[],[]
"['3270177', '4249543', '4309541', '3269629', '3720191', '4309427']",['3269629']
['2448321'],['1739486']
['4312243'],['4312243']
['4324810'],['4324810']
['4375778'],[]
['4637452'],['4637452']
"['5130320', '5204241']","['5130320', '5204241']"
[],['5299002']
['2343360'],['2343360']
[],['2997369']
['8060765'],['1860606']
"['2176241', '8701916']",[]
[],['5592581']
[],['5592581']
[],[]
[],"['3141647', '3142898']"
"['4249133', '4247947', '1997968', '4247805']",['4246755']
"['4284260', '1039584', '2144695', '1466071', '1320139']",['1039584']
[],['0159116']
"['4249595', '4249015', '4247882', '0496556', '1664401']","['0024930', '0352118']"
"['0089118', '0299050', '0005056', '0451035', '0520452', '2050680', '1258638']",['0038432']
[],['0386410']
[],[]
"['4150716', '4151782']",['4151782']
"['1776602', '2476429', '0216635', '3818627', '0241496', '1651908', '1628503', '0547880', '0592945', '2551900', '1417039', '6802331', '1417340']",['1256756']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['1623349', '0425565', '0437654', '1860413', '4335516']",['0437654']
"['4034177', '4032004', '0399541', '1837046', '1493950', '4032529', '0774356', '3924606', '3927609', '2524891', '3758374']","['0544337', '0774356']"
"['0188710', '2516254', '1303151']",['1303735']
"['7438060', '7141642', '8113884']","['7438060', '7141642']"
"['1453875', '1079521', '2503512']",['2593468']
['0888614'],"['2481749', '0692770', '1037515']"
[],['0612465']
[],"['0091161', '3777126', '3495071', '3499335', '0628599', '0687739', '0749509', '2104164', '1316810']"
"['3358561', '4666358', '2640850', '2228442', '2256795', '2441606', '3580349', '0648169', '4666338', '3359344', '4281309', '8180008', '1060902', '1364790', '2104583']","['2257560', '2041166', '3699790']"
"['1709401', '0532696', '0744384']",['0643664']
"['0049249', '0137811', '3536997', '1476226', '2593874', '0454752', '3741163', '0788268', '0893659']",['0893659']
"['4272688', '4273852']",['4274355']
"['2267251', '6093206', '11688916', '11688917', '6209198', '5487881', '2161957', '11944186', '10368412', '4796684', '5488183', '1247172', '0959995']",['0442828']
"['1836064', '1454010', '0136975', '0333076', '1841157', '0522464', '3440238', '7516609', '1303812', '2293301', '1627417', '7516608', '0918424', '0005544']",['1918538']
"['0102196', '0463976', '1215624', '0782288']",['0102196']
"['1329871', '1238966']",['0862911']
"['0605672', '4287705', '1578505', '1047180']","['7679856', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['7679856', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['7679856', '1047180']"
"['3070794', '2243434']",['3071876']
"['0101921', '0003187', '0710759', '0823330', '0865014', '0893097', '0000709']",['0920425']
"['4335511', '0698228']",['0698228']
['2369219'],['2369219']
"['0246188', '5079752', '3920766']","['4401789', '4628917', '0994455']"
"['6740212', '6740214', '0368694', '4452284', '2598359', '3077616', '3978327', '5214194', '6740215', '10857004', '6740213', '0620457', '4922039', '4921992', '5097814', '4506986', '6273969', '1119810', '4508037', '5027306', '3647339', '5578814', '2879821', '4046413']",['4047350']
[],['4371853']
"['0605672', '4287705', '1578505', '1047180']",['1047180']
[],"['1124595', '0463495', '2456811', '0688653', '5637040', '0951418']"
['5864369'],"['5286594', '5287384', '7302213', '2031767', '5287602']"
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['1512524', '0232561', '0917188']",['0757858']
"['2993794', '0445688', '0689102', '0723704', '2728742', '0821721', '3538934']",['1074748']
"['1537989', '2954049', '1921932']",['1537989']
"['2373082', '2369659', '1642030']",['2294294']
"['2055761', '0411070', '3000885', '0913857']",['0436784']
"['0496556', '1664401']","['0024930', '0352118']"
"['2805697', '6753780', '2187246', '0408254', '0577560']",['0384722']
[],['4411618']
"['0028844', '2214370', '0505953', '0614195', '0714997']",['0608525']
"['0183930', '1275326', '0989132', '0005124', '1364559', '1192875']","['0027459', '2320658']"
"['1837026', '1666122', '1103812', '1109191', '0329666', '2369840', '1837046', '1493950', '3799372', '0875651', '2524891']",['1086937']
[],['2032664']
[],['1637806']
"['2659243', '1803461', '4556550']",['2881677']
['3426117'],['3426117']
[],['0837485']
[],['0442887']
"['0109400', '0830833']",['0109400']
"['2038209', '0180664', '0228147', '4097154', '1545935', '1098194']",['0180664']
"['1037430', '1211903', '4647532', '3664111', '1037557', '3279358', '1857237', '0568772', '0590915', '2068773', '3267759', '1857377']",['1020249']
"['5147232', '3356206', '0496556', '1396121', '1664401']",['1396121']
"['1494874', '4395324', '4395433', '0572428', '4395726']",['1496018']
"['1985788', '0276469', '3429438', '1272133', '3428872', '1210547']","['1856673', '3426064', '3429438', '1435746', '1001040', '1210547', '0766663']"
[],['7607383']
"['0156792', '1314428', '0451799', '0451801', '4544928', '4544879', '2701152', '1359532', '0865613', '0916688', '3156925', '1953819', '4551592', '1954259']",['0451799']
"['3284014', '3154125', '2677924']","['3284014', '2677924']"
"['0008743', '0074184', '1330174', '0167795', '4777143']",['0950775']
[],['0653083']
"['0605672', '2154425']",['0605672']
"['2399228', '0083274', '4326756', '4324956', '0360764', '4325823', '0827726', '4324710', '4326062', '4326139']","['3231924', '4324901']"
"['0605672', '4287705', '1578505', '1047180']",['1047180']
"['6842320', '2318180', '0556641', '2438557', '2438192']",['0556641']
"['4082260', '1494496']","['4081209', '1494496']"
"['1037430', '1211903', '4837953', '2116598', '2488332', '3882744', '1037557', '0411070', '2286030', '2865127', '2634953', '3514622', '1985881', '1238495', '0765822', '3267759', '2427032']",['2420940']
"['4691772', '2077396', '2088824']",['2077396']
['1743631'],['0463628']
"['4482738', '2429350', '1834413', '0192424', '0209735', '4482704', '1549343', '6117216', '0437801', '3470753', '3001626', '2462384', '2614565', '2296242', '3983151', '3002829', '4086947', '2675348', '3001702', '2388888']","['2968466', '1776878']"
"['1513684', '1037430', '1211903', '1037557']",['1634378']
"['12318464', '12318465', '0275888']","['1007740', '0275888']"
"['0005124', '0630923', '0714066']","['0005124', '0506977']"
['0496556'],['0407341']
"['0073316', '0609265', '0769405', '0917833']",['0005846']
"['3687377', '8911664', '3623783', '4875194', '3707431', '4858892', '5582775', '0594258', '4836138', '4816627', '1780241', '1989445']","['1718446', '1843517']"
"['4537963', '4538263', '4537937']",['4537963']
"['0605672', '4287705', '1578505', '1047180']","['0038953', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['0038953', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['0038953', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['0038953', '1047180']"
"['0605672', '4287705', '1578505', '1047180']","['0038953', '1047180']"
"['4312109', '0220465', '2406396', '1308619', '1416404', '2789798', '8069870', '0754678', '0758971', '2566489', '0803780', '0936061']","['0230669', '0582798', '0754678']"
"['3696792', '1156785']",['1156785']
"['1925715', '5427370', '5414664']",['5414064']
"['3337383', '1633269', '2949944', '2222215', '0867225', '0921627']","['2222215', '5228798']"
[],"['0155233', '3937763']"
"['4371280', '4319680', '0437175', '3984065', '2629112', '0473539', '0605303', '4370666', '2625837', '2809048', '4371294', '0948980']",['0951197']
"['1916093', '5836771', '0005086', '2864129', '0550881', '4234019', '0840699', '4233688', '5347659']",['2066439']
"['4371280', '4319680', '1257504', '0437175', '2805950', '3984065', '2629112', '0452757', '4370791', '0473539', '0605303', '4370666', '4915878', '2625837', '2137917', '3984158', '4262128', '2809048', '4371294', '4884425', '5036480', '2593464', '0945669', '4967914', '0948980', '4370574']",['0951197']
['0496556'],['0407341']
['4543874'],['4543874']
"['7012346', '5838906', '1852209', '0449549', '0624260', '0842470']",['0331532']
['0884054'],"['3200805', '3384226', '4595015', '3179970', '3181426', '4394720']"
[],['4575677']
"['4729440', '1030817', '2696451', '6089325', '7209421', '7209422', '1032715', '7209420', '3053851']",['2520393']
[],['4623719']
"['4282187', '2864129', '0534135', '1761345', '4276249']",['0534135']
"['13469866', '5464898', '2587997']",['0959970']
['0044448'],['1496044']
['4220863'],['4220863']
[],['7309286']
"['0020690', '1634155', '1010170', '3755601', '0692994', '1925807', '1494765']",['2760467']
['10891497'],['4588411']
['0496556'],['0407341']
[],['4659481']
['2369660'],['2369660']
"['1848139', '1841217', '1315988']","['1314221', '0702505']"
"['5014726', '3984065', '0462058', '1718061', '0559403', '5483860', '0767979', '0840689', '5923602', '5014738', '2879821', '4625635']",['2407433']
"['10042459', '7050184', '6616634', '1562757', '3450028', '10432333', '3240040', '5116826', '0653004', '10432334', '5621689', '0949082', '4855215', '3075624']",['0793840']
"['0000108', '0084686', '1193981', '0165394', '0329666', '1837046', '1493950', '3799372', '4730830', '2524891']",['0074426']
"['1055014', '1313786', '2507027', '1764846']","['0153999', '0630802']"
"['1803007', '1279205', '1803145', '1047856', '4711736', '1698961']",['1047856']
"['2228322', '4614858', '0340503', '1459247', '2164150', '0910419', '2737091', '3381016']","['1110313', '2222398']"
['0496556'],['1556115']
"['0062362', '3360339', '4579689', '2966434', '0439003', '0464770', '4112508', '0473622', '0473709', '0718731', '0834672']",['0526819']
"['4668162', '3999033']",['3999033']
[],['4880881']
"['0357319', '0407425', '0411070', '2243723', '4728376', '4835826', '2068773', '4345260', '0913857']",['0645657']
['0496556'],['0407341']
"['0065376', '1571986', '0473622', '4556390', '4556352']",['0903474']
"['2432800', '4739711', '0296807', '4522374', '3159802', '0375235', '0783203', '2481893']",['1567950']
"['1480420', '1890375', '1491111', '4111213', '2083619', '1020310', '10330386', '4037667', '2652213']",['1490776']
"['1308619', '0567079', '0803780', '1238966']",['0862911']
"['2443844', '6215771', '6950203', '0442896', '3984065', '5472874', '3834107', '2544727', '13515369']",['0648464']
"['4762359', '2626794', '4384336', '1189002', '0209216', '1872134', '4021928', '4384370', '1807008', '4834040', '0999118']",['1282993']
"['1668027', '11530702', '2456892', '6475899', '4765120', '3804894']",['0234725']
"['4699186', '4545198', '1549553', '4699213', '3860992', '1929895', '4699261', '1277152']","['1601862', '1580685', '3860992']"
"['4386727', '0502178', '4372755', '4373623']",['4372755']
['4721656'],['4722385']
[],['2596818']
[],['1823279']
"['5404719', '4960336']",['4756103']
['4726510'],['3613566']
[],['0458185']
"['4899020', '1055159', '1155309', '0745199']","['0745199', '0902741']"
"['3113835', '1079522', '6347685', '1213129', '6347686', '1997229', '6862207', '2433883']","['0433588', '0312881', '1346527']"
"['4762723', '2433391', '4763150', '4762545', '4264081']",['0606407']
['2460511'],['1256250']
"['0044406', '4726227', '4726887', '4726333', '0563458', '4726344']",['2266125']
"['1480420', '1491111', '4111213', '2652213']",['2910706']
"['0011470', '0013540', '0868219', '1428647', '0415031', '1195845', '0706904', '0930964']",['1844237']
"['0192254', '0001392', '1353341', '0005086', '0568980', '4763354', '0814114', '0818373', '0000229']",['0000229']
"['11743956', '5044618', '5896878', '3435824', '3984065', '3077616', '8681232', '2217049', '3978327', '1137449', '4847709', '4922039', '5044651', '4884425', '2246748', '4967914']",['1287472']
"['0298041', '1097467', '1097471', '1099572']",['1097467']
"['7254237', '12729628', '7235233', '5143133']",['0442823']
"['3482952', '0923312']",['0048519']
"['4654661', '0045115', '4909644', '4909333']",['2535888']
"['4384336', '1837026', '5916170', '0323007', '1572145', '4384370', '1837046', '1321516', '1493950', '1315809', '0999118', '6261745', '2524891', '0959109']",['0481451']
"['1837026', '0219168', '1806674', '4787860', '1837046', '1409299', '5256377', '0581565', '1305889', '0664216', '1493950', '0701813', '3548935', '3886717', '2171641', '0906311', '2524891', '1101094']",['1377813']
"['0195107', '1464927']",['4755434']
"['2836276', '1645959']",['1764579']
['4769796'],['4770353']
['0496556'],['0407341']
"['0008859', '0063165', '0432004', '0520485', '0670425', '0791185', '1575873', '0819862']","['0809877', '0176905']"
"['0257076', '1029954', '0556641', '2438557']",['0644100']
['2722203'],"['4695372', '2722203']"
['2809398'],['2809398']
"['0075732', '0121694', '3006577', '0002211', '0372544', '2333127', '0587964', '0004306', '0593294', '0705360', '2468778']","['0004306', '0248495', '1668276']"
[],['13582299']
"['4901407', '4902671', '1280849']","['2499748', '0709349', '0482452']"
"['1633269', '4911632', '0273429', '0273327', '2592155', '3928436', '1157609', '2037634', '2237061', '3617970', '1729674', '0758353', '1160634', '0921627']",['1403426']
['0496556'],['0407341']
"['4755425', '1673030', '0583780']",['0417757']
[],['1159782']
"['2803372', '4465413']",['4465413']
['6461706'],['6461706']
['4532776'],['4465734']
"['1298112', '2304965', '11328311', '1302985']",['1840304']
"['2116598', '2488332', '0368979', '2511908', '2488088', '0496556', '2488310', '2486507', '4743231', '1664401', '6755375', '2879821']",['2210720']
['3632798'],['3632798']
"['0046559', '0439739', '0532650', '0586969', '1651942', '0914014']",['0593610']
"['1672365', '1938837']",['0945724']
['2818761'],"['4807056', '1137279']"
"['0067457', '2378356', '2031483']",['0155940']
"['5044618', '1757129', '1549716', '5014726', '7432998', '3984065', '0473539', '12128467', '12128466', '9129264', '0645817', '5483860', '12128465', '2848429', '5044651', '4884425', '4508037', '5036480', '10362903', '10362904', '4625635']","['1450721', '1757129']"
['2941271'],['0587036']
"['1650390', '0783652']",['2932959']
['9173199'],['5694753']
"['0018462', '0219785', '0250437', '3613207', '0655637', '1026847', '1047123', '1236489']","['0250437', '0655637', '1256147']"
['2270071'],['2270071']
['5592581'],['5592581']
"['4162416', '4180218']",['4094499']
['4270146'],['4270146']
"['0971817', '0209303', '1037838', '0421639', '4697098', '3163166', '3965150']",['4313087']
['4379456'],['4379456']
"['0407741', '1199513', '4255491', '0681247', '1162834', '4579147', '0929771']",['1199513']
"['1094363', '4399371', '4519669', '4520543', '4520671', '4511166']",['1094363']
['4465734'],['4465734']
['4466468'],['4466468']
['4486200'],['4486200']
"['3619387', '2001131', '3599920']",['3619387']
"['2996734', '0891825']",['2996734']
['1134802'],['3296976']
['3924884'],[]
['4705857'],['4704997']
"['4786814', '4786431']","['4786814', '4786431']"
"['4762908', '4799881']","['4762908', '4799881']"
"['4833660', '4834537']",['4834537']
"['5132067', '3300508', '3917066', '2373620']",['3300508']
"['0255540', '3919299', '3902881']","['0255540', '3903987']"
['5410923'],"['5410923', '1949261']"
['5829661'],"['5829659', '5829660']"
['6273205'],['6273205']
"['8701966', '8701967']",['8701955']
[],['5592581']
['4392056'],['4392056']
['3927121'],['3927121']
[],['5592581']
"['0093906', '0095796', '1691401', '2963262', '2615430', '0563857', '0834935', '2608351', '0944747', '1937792']","['1860603', '0834935']"
[],"['11411157', '10354140', '0481812', '3213009']"
"['0160935', '0228147', '5650752', '2031767', '2758162', '0787420', '2311450', '2305757']",['2313736']
[],['3151236']
"['2414517', '3192317', '2739365', '2388513', '3955462', '2329049', '0765822', '1247172']",['1365432']
"['6146017', '4701204', '3971847', '3380449', '1818151', '2345338', '2371958', '3899308', '1097132', '4837295', '5268350', '2973669', '4701997', '4837265', '4837200', '4701294']",['2973669']
"['1165365', '1335650', '6802331']","['1462495', '1358030', '12494631']"
"['2476897', '6005587', '0343570', '0738983', '2491694', '4417863']",['1823279']
"['8020081', '8020085', '8020087', '8020089', '12262257', '8020084', '7345094', '8020078', '3599817', '8020086', '4520358', '8020077', '8020088', '3208608', '3547294', '8020082', '1122911', '8020083', '8020079', '8020080']",['5142155']
['3004893'],['3004893']
"['4860157', '2003306', '1573995', '1628542', '0878953', '5164733', '4860553']",['4860965']
"['2942533', '0185696', '4982365', '0223112', '7073631', '0326002', '2280543', '0500553', '0750830']",['0325616']
[],['0268741']
"['7650637', '4984912', '0775477']",['1191315']
"['6173814', '6173813']",['4940626']
"['4001554', '2488332', '3371996', '5191698', '2416660', '3077616', '5205768', '5205513', '5166814', '2189335', '5206266', '1218073', '1259616', '3437690', '2879821']",['0473549']
"['1037430', '3679873', '1211903', '1463874', '1825196', '1037557', '4918388', '2255764', '4679483', '1906866', '4918264', '3178195', '1667470', '4918858', '2039440', '4919211', '2388560', '1216495', '2281358', '4091234']",['1216495']
[],['3525754']
['1297226'],['1297226']
"['0062921', '0432763', '2667944', '4159329', '2667400']",['0910424']
"['8968055', '8974057', '3599817']","['0212593', '0503259', '5485894']"
['2918889'],['2918889']
['2003854'],['1124954']
['4963680'],['4963680']
[],[]
"['0202425', '0972213', '0372329', '0577560', '0666791', '2454185']","['0719208', '0049633']"
"['3969330', '4921559']","['2705766', '1380193']"
[],['0476417']
"['13294860', '4891052', '4891338']","['4891052', '4891338']"
"['4788561', '4788768', '0086996', '4788882', '0223277', '4788526', '4784934', '4788488']","['4784934', '4685025']"
"['3687377', '8911664', '4432234', '11716517', '10751433', '4875458', '4440154', '1984252', '0594258', '11716511', '5109556', '5164374', '5923859', '1780241', '11716518', '1989445']",['1160487']
[],['2910657']
[],['2475300']
['4684467'],['4684467']
[],['0612465']
[],[]
"['2259191', '0516880', '0520485', '0791185', '0809877', '0819862']","['0520485', '0627920']"
"['4032011', '1086643', '4346612', '4346953', '4345921']","['4347079', '4032011', '4346050', '1729128', '4347597', '4347300', '2754753', '3318714', '4346353', '4345921']"
"['4250233', '5072615', '2923944', '1520556', '2797554', '5072314', '4118473', '0594258', '2009465', '0645817', '3267759']",['0412808']
[],['11673742']
"['0000125', '3856059', '2372334', '2371257']",['2372334']
[],['2032664']
[],['1637806']
"['1298353', '4603521', '2238551', '1968931', '0498008', '1583256', '1981925']",['3734897']
"['0311570', '0499054', '1993245', '5452863', '4009098']",['2029797']
"['1298112', '2304965', '12809802', '11328311', '4997933', '4998511', '4998073', '2607778', '1302985']","['4998666', '1840304']"
[],['5065668']
[],"['8394900', '8011361']"
"['1275800', '4970524']",['4970524']
['1297226'],['1297226']
"['1863014', '0143117', '2308119', '0257258', '2015719', '0406954', '0424387', '0440415', '0650973', '0767794', '0837577', '0923312']",['0440415']
"['4822226', '4822271', '0354499', '3111057']",['0354499']
"['3635134', '2842125', '0113596', '5398937', '5305496', '0287448', '0293326', '1023191', '2176397', '0372210', '3881157', '2251192', '4633679', '5399325', '0687791', '3603339', '0875987', '1988958']",['0113596']
"['2659243', '1803461', '4556550']",['4556550']
[],['12088026']
['3293412'],"['0031801', '5049258']"
"['4085223', '2133990', '0001149', '1189479', '0998941', '4085942', '4069703', '0631927', '1305990']",['2133990']
"['2302265', '3564497', '2023083', '2788276', '2360757']",['2023083']
"['0188710', '2516254', '1303151']",['0373798']
"['1108093', '4777143', '1428647', '0814969', '0842616']","['0201509', '0569891', '0970447']"
"['5592581', '5594968']",['5592581']
['1302888'],['0879812']
[],['6246584']
"['4384336', '0116369', '4384370', '1566098', '1436417', '2847097', '0999118', '0851759']","['0041334', '0665262', '2883649']"
"['3278504', '0217524', '0486627', '2906053', '2341369', '0745689']",['0496312']
['0698228'],['0698228']
"['2380794', '3032965', '8835798', '2450863', '5533948', '0780098']","['3720444', '5072933', '0706953']"
['3506732'],['5453829']
"['1837026', '2549210', '0325320', '1562741', '1837046', '1493950', '2524891']",['1562741']
[],['5166848']
"['5470775', '3793607', '3799537', '1835122', '1970382', '3564178', '1337382', '1602166', '1566098', '2050552', '0626883', '2469089', '5691004', '1950075', '2613001']",['1798333']
"['1037430', '5353243', '3595778', '1211903', '6227203', '1037557', '0411070', '3309461', '2212512', '4118473', '4536709', '2631098', '4303929', '2584314', '4625266', '6014327', '3267759', '3549691', '2916195']",['2022248']
"['4571949', '3747865', '6870445', '2829233', '0703697', '5117129', '5228432', '3534358', '6023867', '0959109']","['3847394', '3847867']"
"['4232717', '3470651', '1973308', '5255984', '0057623', '0087689', '0097429', '3988368', '0309027', '0484475', '1968081', '5246863', '0733730', '1729674', '3982402', '2826348', '4232821']",['1955897']
"['5273748', '3811268', '5273456', '0605672']",['0766226']
['3236412'],['3236412']
"['0479291', '2690424', '1598600', '1032539', '2727721']","['1032539', '1598133']"
"['0230032', '1216321', '0005124', '0764780', '0004056']","['0028764', '0152312', '0700760']"
[],['2488902']
[],['1634378']
[],['0473549']
"['3687377', '1236503', '1037430', '2716087', '1211903', '3664111', '3371996', '4709335', '1037557', '1549716', '2097733', '3675414', '2929057', '5084522', '4808763', '1084385', '5601564', '2510203', '3965398', '0847182', '0879956', '3823482']",['0396074']
"['0232561', '1000858', '0757858', '0917188']","['0553942', '0862211']"
['0814167'],['1050535']
"['10890771', '10890772', '8367159']","['10890673', '6955838']"
"['0012541', '5099736', '6475899', '5099668', '4557603', '4556491', '3035187']",['0012541']
"['3461876', '1948535']","['0305659', '1346947', '5079042']"
"['10891497', '4588411', '3831972', '10891495', '7649034', '6112155', '10891496']",['4588411']
[],['3765584']
['0496556'],['0837485']
[],['1212034']
"['2942533', '0185696', '4802047', '0728772', '0750830', '3794026']",['0728772']
"['0009145', '5197816', '0247653', '0669298', '2008896', '5198957']",['0669298']
"['4319680', '5391372', '6384450', '0437175', '5390287', '2629112', '0605303', '4370666', '3769481', '2625837', '4262128', '5390882', '2809048', '4371294', '5014738', '0948980']",['0951197']
[],['3190380']
[],[]
['7096492'],['7096492']
[],['6096731']
"['2674901', '2624051', '0627159', '7736382', '6540071', '0000680']","['0032925', '1016096']"
"['10723836', '4329109', '6479175', '2289527', '2371104', '4809574', '7050185', '2158832', '3984065', '1618263', '3834107', '0638105', '7623961', '3965398', '2838056', '2372234']",['1618147']
['6219996'],['1155551']
"['0079896', '3295622', '1325899', '1750312']","['2752098', '0271402']"
"['3866341', '5198766', '5199228', '5040185', '1773583', '2725969', '3868169', '5197945', '5197693', '5198120', '4498625']",['5197715']
"['4145551', '4443824', '4443801', '1710814', '4443282', '4444390']",['2623790']
"['1537989', '1633269', '3449524', '2954049', '3289451', '1921932', '2949944', '0921627', '3493746']","['5174437', '5228798']"
"['10891497', '9071346', '10891414', '11227576', '11227577', '11227575']",['2032168']
['5166334'],"['1025041', '6336678']"
['2279694'],['5221980']
"['1633269', '1806881', '0921627']",['1806948']
"['3977111', '3653660', '10723836', '5419876', '1251784', '2158832', '3896595', '6467101', '0972227', '11897899', '4811430', '11897898', '5029456', '9720620', '10458774', '4208516', '11897900', '11897901']",['0757313']
['3632798'],['3632798']
"['3985150', '2777394', '0303034', '1837046', '0562775', '3763806', '0661549', '1493950', '0823721', '0887263', '1253610', '2524891', '9097273']","['1062463', '0823721', '0562775']"
"['0110766', '0005124', '2885121']","['0304432', '0391996']"
"['1256342', '1236503', '1037430', '5363406', '2965202', '1211903', '2116598', '6384352', '3664111', '7050184', '5363346', '1037557', '7050185', '5995227', '0997125', '3984065', '4118473', '2492737', '1729631', '3965398', '4119034', '7050186', '0879922', '0949082']",['4047350']
['0065088'],['0065088']
"['3698470', '3698471', '5147232', '3000885', '5146660', '5146765']",['4982827']
[],['0381116']
"['1247154', '0219785', '0399746', '1750217', '1019013', '4333819']",['0002923']
"['1313786', '1633269', '3798867', '2840945', '0329666', '1293883', '3992890', '3799372', '0825350', '0921627']",['0195039']
[],[]
['4982519'],['4982519']
"['2663484', '1308619', '0567079', '1238966']",['0862911']
"['0067250', '3996993', '1004341', '1562736', '2750559', '1819369', '1870585']","['0902741', '1389969']"
"['3874705', '5323045', '1507246']","['3589896', '1050535']"
"['0098647', '0184445', '0613740', '0001191', '0806912']",['0850733']
"['0236436', '3432273', '5504815', '0427580', '4096073', '0796097', '1507245', '3462927']","['0427580', '2461935', '1507245']"
"['2110166', '2010880', '0631000', '0783205']",['3834811']
['3202659'],['3202659']
"['0007831', '0000318', '0294553', '0353893', '1217409', '1419211']",['0000318']
"['1256342', '10726568', '7427477', '0442930', '3000885', '7245379', '5994418', '1046177', '2209559', '6707815', '0800493', '1426179', '3369912', '10534873', '9589243', '6704231']",['1372499']
